Run,Outlier1,Outlier2,Outlier3,Outlier4,Outlier5
1,303067371,,,,
2,303117826,302525939.0,,,
3,302805012,,,,
4,302820112,,,,
5,302820112,302927768.0,,,
6,302805012,,,,
7,303410298,302820112.0,,,
8,302802712,302833976.0,,,
9,302373717,302409013.0,,,
10,302833976,303167899.0,,,
11,303410298,302820112.0,302927768.0,,
12,302776500,302352893.0,,,
13,303117826,,,,
14,303880165,303270830.0,,,
15,303091263,,,,
16,303303126,,,,
17,302802712,302833976.0,,,
18,302352893,,,,
19,303410298,302820112.0,302927768.0,,
20,303067371,302706899.0,,,
21,302805012,,,,
22,302352893,302871614.0,302776500.0,302373717.0,302409013.0
23,302409013,302352893.0,,,
24,303410298,302820112.0,302927768.0,,
25,303880165,,,,
26,303091263,,,,
27,302373717,302409013.0,302888553.0,,
28,303303126,,,,
29,302483593,302895775.0,,,
30,302625438,302776500.0,302352893.0,,
31,303117826,303589509.0,303580965.0,302525939.0,
32,303410298,302820112.0,,,
33,302352893,,,,
34,303067371,302391204.0,,,
35,302776500,302352893.0,,,
36,303117826,,,,
37,303245761,,,,
38,303844597,303303126.0,,,
39,302409013,,,,
40,303880165,303893981.0,,,
41,303844597,303880165.0,,,
42,302625438,302816163.0,302396479.0,,
43,303303126,,,,
44,302401313,,,,
45,303091263,,,,
46,302352893,,,,
47,303410298,302820112.0,,,
48,302820112,,,,
49,302396479,302776500.0,302352893.0,,
50,303117826,302525939.0,,,
51,303880165,303893981.0,,,
52,303117826,302525939.0,,,
53,302776500,302352893.0,,,
54,302525939,303117826.0,303580965.0,,
55,302625438,302379268.0,302396479.0,,
56,302820112,,,,
57,302373717,302409013.0,,,
58,302820112,,,,
59,302776500,302396479.0,,,
60,303844597,303880165.0,303270830.0,,
61,302805012,303540891.0,,,
62,303410298,302820112.0,302927768.0,,
63,303303126,,,,
64,302820112,302927768.0,,,
65,302833976,,,,
66,303410298,302820112.0,,,
67,303303126,,,,
68,303091263,,,,
69,303091263,,,,
70,302833976,,,,
71,302352893,,,,
72,302776500,302990500.0,302352893.0,,
73,303117826,303580965.0,,,
74,302802712,302833976.0,,,
75,303410298,302820112.0,302911736.0,,
76,302625438,302396479.0,,,
77,302625438,302396479.0,,,
78,302396479,,,,
79,303067371,,,,
80,302802712,302833976.0,,,
81,302833976,,,,
82,303117826,303580965.0,302525939.0,,
83,302833976,303069712.0,,,
84,302899824,302911736.0,,,
85,303303126,,,,
86,302396479,,,,
87,303069712,302899824.0,303245761.0,,
88,302401313,,,,
89,303880165,303270830.0,,,
90,302820112,,,,
91,302396479,,,,
92,302890945,302464930.0,302435050.0,,
93,303410298,302820112.0,302927768.0,,
94,302802712,302833976.0,,,
95,302820112,,,,
96,303245761,,,,
97,303091263,,,,
98,303067371,302706899.0,,,
99,302396479,,,,
100,303303126,,,,
