Run,Outlier1,Outlier2,Outlier3,Outlier4
1,302871614,,,
2,302978997,302906877.0,,
3,303141620,,,
4,302391204,,,
5,302802712,302833976.0,,
6,303117826,302525939.0,303580965.0,
7,302990500,,,
8,303091263,,,
9,302805012,,,
10,302871614,,,
11,303245761,,,
12,302816163,,,
13,303303126,,,
14,303094396,,,
15,303580965,303589509.0,303117826.0,
16,303117826,303580965.0,,
17,302382289,,,
18,303751517,,,
19,303303126,,,
20,302525939,303117826.0,303580965.0,
21,303117826,302525939.0,,
22,302331096,,,
23,302396479,302625438.0,,
24,303117826,302525939.0,303580965.0,
25,302805012,,,
26,302990500,,,
27,303117826,302525939.0,,
28,302625438,302692470.0,,
29,303141620,,,
30,302802712,302833976.0,,
31,302331096,,,
32,303580033,,,
33,302401313,,,
34,302625438,302692470.0,,
35,303580965,303589509.0,,
36,303094396,302525939.0,,
37,302805012,303438387.0,,
38,303002654,,,
39,303067371,,,
40,302464930,,,
41,302692470,302396479.0,302625438.0,
42,303117826,302525939.0,303580965.0,
43,303580965,303589509.0,,
44,302990500,302675656.0,,
45,302409013,,,
46,303589509,,,
47,303160094,,,
48,302625438,302396479.0,,
49,302692470,302625438.0,,
50,302409013,,,
51,303828569,,,
52,303067371,,,
53,303580033,,,
54,303580033,,,
55,303580965,303589509.0,,
56,303303126,,,
57,303589509,,,
58,303437820,,,
59,302871614,,,
60,303084978,,,
61,302382289,,,
62,303303126,,,
63,303410298,302820112.0,,
64,302456998,,,
65,302906877,302978997.0,,
66,303160094,,,
67,303245761,,,
68,302890821,,,
69,303091263,,,
70,303117826,303580965.0,,
71,303117826,303589509.0,302525939.0,303580965.0
72,303067371,,,
73,303580965,303117826.0,,
74,302842902,302871614.0,,
75,302625438,,,
76,303751517,,,
77,302409013,,,
78,303094396,,,
79,302692470,302396479.0,302625438.0,
80,302802712,302833976.0,,
81,302692470,,,
82,303094396,,,
83,302850881,,,
84,302906877,302978997.0,,
85,302625438,302396479.0,,
86,302990500,,,
87,303751517,,,
88,303580965,303589509.0,,
89,302871614,,,
90,302382289,,,
91,303880165,,,
92,303084978,,,
93,302850881,,,
94,302802712,302833976.0,,
95,303580965,303589509.0,303117826.0,
96,303880165,,,
97,302391204,,,
98,303437820,,,
99,303091263,,,
100,302625438,302352893.0,302692470.0,
