Run,Outlier1
1,2.0
2,2.0
3,2.0
4,2.0
5,
6,2.0
7,
8,2.0
9,2.0
10,2.0
11,2.0
12,
13,
14,
15,2.0
16,2.0
17,
18,
19,
20,2.0
21,
22,2.0
23,2.0
24,
25,2.0
26,
27,2.0
28,2.0
29,
30,2.0
31,2.0
32,
33,
34,2.0
35,2.0
36,2.0
37,2.0
38,
39,
40,2.0
41,2.0
42,2.0
43,
44,
45,2.0
46,
47,2.0
48,
49,
50,2.0
51,2.0
52,
53,2.0
54,2.0
55,
56,
57,2.0
58,
59,2.0
60,2.0
61,2.0
62,2.0
63,
64,2.0
65,2.0
66,
67,2.0
68,
69,2.0
70,2.0
71,2.0
72,2.0
73,
74,2.0
75,2.0
76,
77,2.0
78,2.0
79,2.0
80,
81,
82,2.0
83,2.0
84,2.0
85,
86,2.0
87,
88,2.0
89,2.0
90,2.0
91,2.0
92,2.0
93,
94,2.0
95,
96,
97,
98,
99,2.0
100,2.0
