Run,Outlier1,Outlier2,Outlier3
1,303117826,303580965.0,
2,302401313,,
3,302396479,,
4,303117826,,
5,302805012,,
6,303303126,,
7,302820112,,
8,302820112,,
9,302396479,,
10,303091263,,
11,303117826,302525939.0,
12,302776500,302352893.0,
13,303880165,,
14,303117826,303043834.0,
15,303880165,,
16,302352893,,
17,303117826,,
18,302833976,,
19,303880165,,
20,303880165,,
21,302833976,,
22,302833976,,
23,303117826,302525939.0,
24,302820112,,
25,303245761,,
26,303117826,,
27,303067371,,
28,302401313,,
29,303245761,,
30,302833976,,
31,302820112,,
32,302820112,,
33,302401313,,
34,302401313,,
35,303880165,302465358.0,
36,303091263,,
37,302409013,,
38,303117826,302525939.0,
39,302352893,,
40,303117826,,
41,303303126,,
42,303069712,303245761.0,
43,302890821,303437820.0,
44,302396479,,
45,303892441,302820112.0,
46,302802712,302833976.0,
47,303117826,,
48,303069712,303245761.0,
49,303245761,,
50,302401313,,
51,303117826,,
52,303880165,,
53,303880165,,
54,302820112,,
55,302409013,,
56,303844597,303880165.0,
57,303844597,303880165.0,
58,303117826,302525939.0,
59,303091263,,
60,302899824,303245761.0,
61,303117826,,
62,302833976,,
63,302820112,302890945.0,
64,302805012,,
65,302352893,,
66,303844597,303880165.0,303270830.0
67,303067371,,
68,302396479,,
69,303844597,303880165.0,303893981.0
70,302833976,,
71,302352893,,
72,302899824,303245761.0,
73,303410298,302820112.0,
74,303303126,,
75,302352893,,
76,303117826,,
77,303117826,303529266.0,303580965.0
78,303117826,303580965.0,
79,302820112,,
80,302352893,,
81,303117826,,
82,302805012,,
83,302833976,,
84,302409013,,
85,303117826,,
86,302625438,302396479.0,
87,303117826,,
88,303067371,,
89,303880165,,
90,302352893,,
91,303245761,,
92,302396479,,
93,303117826,302525939.0,
94,303880165,,
95,302352893,,
96,302978997,302906877.0,302571189.0
97,303091263,,
98,302805012,303540891.0,
99,303067371,,
100,302820112,,
