Run,Outlier1,Outlier2
1,302409013,
2,302396479,
3,303117826,
4,302352893,
5,303303126,
6,302352893,
7,302820112,
8,302820112,
9,302401313,
10,302409013,
11,302396479,
12,302805012,
13,302352893,
14,303067371,
15,303245761,
16,303880165,
17,303880165,
18,303117826,
19,302409013,
20,303091263,
21,303091263,
22,303880165,
23,302401313,
24,303117826,
25,303245761,
26,303880165,
27,303117826,
28,303880165,
29,302396479,
30,303117826,
31,303117826,
32,302833976,
33,303069712,303245761.0
34,302766939,
35,303735805,303589509.0
36,302401313,
37,302805012,
38,303303126,
39,303880165,
40,303303126,
41,302352893,
42,303067371,
43,302805012,
44,303303126,
45,302820112,
46,303303126,
47,303880165,
48,302805012,
49,303245761,
50,303880165,
51,303303126,
52,303245761,
53,303303126,
54,302352893,
55,302409013,
56,302911339,
57,302805012,
58,302820112,
59,303245761,
60,303091263,
61,303067371,
62,302820112,
63,302409013,
64,302396479,
65,303303126,
66,303880165,
67,303303126,
68,303067371,
69,302805012,
70,302805012,
71,303880165,
72,303091263,
73,303067371,
74,303303126,
75,302820112,
76,303091263,
77,302401313,
78,303091263,
79,302890945,302571189.0
80,303880165,
81,302805012,
82,303117826,
83,302352893,
84,303117826,
85,302833976,
86,303091263,
87,303303126,
88,303589509,
89,302396479,
90,303303126,
91,303091263,
92,303880165,
93,302805012,
94,303245761,
95,303117826,
96,303670740,
97,302833976,
98,302396479,
99,302401313,
100,303303126,
