Run,Outlier1,Outlier2,Outlier3,Outlier4
1,303117826,302525939.0,303580965.0,
2,303094396,,,
3,303117826,303580965.0,302525939.0,
4,303084978,,,
5,302692470,302625438.0,,
6,302456998,,,
7,302816163,,,
8,302990500,,,
9,302692470,302396479.0,302625438.0,
10,302525939,303117826.0,,
11,303410298,302820112.0,,
12,302990500,,,
13,302525939,303094396.0,303117826.0,
14,302391204,,,
15,302456998,,,
16,303303126,,,
17,303245761,,,
18,302990500,,,
19,303091263,,,
20,302842902,302744886.0,,
21,302816163,,,
22,303580965,303589509.0,303117826.0,
23,302990500,,,
24,302871614,,,
25,303828569,,,
26,303117826,303589509.0,302525939.0,303580965.0
27,303141620,,,
28,303580965,303589509.0,303117826.0,
29,302842902,302871614.0,302744886.0,
30,302871614,302625438.0,,
31,303580965,303589509.0,,
32,303580965,303589509.0,303117826.0,
33,303094396,,,
34,302842902,302744886.0,,
35,303410298,302820112.0,,
36,303580965,303117826.0,,
37,302850881,,,
38,303067371,,,
39,302382289,,,
40,303117826,303580965.0,302525939.0,
41,302352893,302409013.0,302744886.0,302842902.0
42,302525939,303117826.0,,
43,302978997,302906877.0,,
44,302692470,302625438.0,,
45,303067371,,,
46,303172197,,,
47,303117826,303580965.0,302525939.0,
48,302744886,302842902.0,,
49,303067371,,,
50,302331096,,,
51,302890821,,,
52,303580965,303094396.0,302525939.0,303117826.0
53,303580965,303589509.0,303117826.0,
54,303067371,,,
55,302913856,,,
56,303580965,303589509.0,303117826.0,
57,303580965,303589509.0,303117826.0,
58,302625438,302396479.0,302692470.0,
59,302842902,302744886.0,,
60,303172197,,,
61,303580033,,,
62,302913856,,,
63,303580965,302842902.0,302871614.0,302744886.0
64,303117826,303589509.0,303580965.0,302525939.0
65,303410298,302820112.0,,
66,302906877,302978997.0,,
67,303141620,,,
68,303580965,303589509.0,303117826.0,302525939.0
69,302625438,302842902.0,302692470.0,
70,303084978,,,
71,303030152,,,
72,303580965,303117826.0,302525939.0,
73,303117826,303589509.0,303580965.0,302525939.0
74,302906877,302978997.0,303303126.0,
75,303172197,,,
76,303245761,,,
77,302625438,302692470.0,,
78,302525939,303117826.0,303580965.0,
79,302625438,302692470.0,302396479.0,
80,303067371,,,
81,302625438,303002654.0,302396479.0,
82,302692470,302396479.0,302625438.0,
83,302802712,302833976.0,,
84,302871614,,,
85,302401313,,,
86,302871614,302352893.0,,
87,302352893,302842902.0,302744886.0,
88,303141620,,,
89,303160094,,,
90,302802712,302833976.0,,
91,302409013,302352893.0,,
92,302692470,302396479.0,302625438.0,
93,302409013,,,
94,303117826,303580965.0,302525939.0,
95,302675656,,,
96,302525939,303117826.0,,
97,303303126,,,
98,303580033,,,
99,302906877,302978997.0,,
100,303117826,302525939.0,303580965.0,
