Run,Outlier1,Outlier2,Outlier3,Outlier4,Outlier5,Outlier6
1,303117826,302525939.0,,,,
2,303410298,302820112.0,302927768.0,,,
3,302396479,,,,,
4,303844597,303880165.0,303893981.0,,,
5,303844597,303270830.0,303880165.0,303893981.0,302531495.0,
6,303580965,302871614.0,303678909.0,303409534.0,303751517.0,302944654.0
7,303880165,303893981.0,,,,
8,303880165,303893981.0,,,,
9,303067371,,,,,
10,302899799,302910959.0,302483593.0,302895775.0,303028282.0,302331096.0
11,302531495,303303126.0,,,,
12,302625438,302396479.0,,,,
13,302373717,302409013.0,,,,
14,302871614,303678909.0,303751517.0,303409534.0,,
15,303751517,302871614.0,303678909.0,303409534.0,,
16,303880165,,,,,
17,302820112,302927768.0,,,,
18,302401313,,,,,
19,302692470,302625438.0,302396479.0,,,
20,302833976,,,,,
21,302978997,302373717.0,302409013.0,,,
22,303844597,303880165.0,303893981.0,,,
23,303410298,302820112.0,302927768.0,,,
24,302802712,303410298.0,302820112.0,302927768.0,,
25,302821942,302776500.0,302352893.0,,,
26,303117826,303191699.0,302525939.0,,,
27,303091263,,,,,
28,303091263,,,,,
29,303117826,303580965.0,,,,
30,302776500,302352893.0,,,,
31,302396479,,,,,
32,303844597,303410298.0,302820112.0,302927768.0,,
33,303880165,303270830.0,,,,
34,302802712,302833976.0,,,,
35,303880165,303270830.0,303893981.0,,,
36,303270830,303880165.0,302531495.0,303893981.0,,
37,302409013,,,,,
38,302776500,302352893.0,,,,
39,302776500,302352893.0,,,,
40,302625438,302911339.0,302396479.0,,,
41,303091263,,,,,
42,303880165,303893981.0,302465358.0,,,
43,302776500,302352893.0,,,,
44,302352893,,,,,
45,302401313,,,,,
46,303880165,302465358.0,,,,
47,302625438,302396479.0,,,,
48,303204114,303580965.0,302871614.0,303678909.0,303409534.0,303751517.0
49,302352893,,,,,
50,302805012,,,,,
51,303067371,302706899.0,,,,
52,303091263,302331096.0,,,,
53,302401313,,,,,
54,303091263,,,,,
55,303117826,303580965.0,,,,
56,302978997,303303126.0,,,,
57,303117826,302525939.0,303580965.0,,,
58,303117826,302525939.0,,,,
59,303410298,302820112.0,302927768.0,,,
60,303117826,303580965.0,,,,
61,302802712,302833976.0,,,,
62,303303126,,,,,
63,303880165,303270830.0,303410298.0,,,
64,303303126,,,,,
65,303067371,,,,,
66,303117826,303580965.0,302525939.0,,,
67,302820112,302927768.0,,,,
68,303117826,303589509.0,302525939.0,303043834.0,303529266.0,303735805.0
69,303410298,302910959.0,302820112.0,,,
70,303117826,303580965.0,302525939.0,,,
71,303117826,303580965.0,302525939.0,,,
72,303410298,302820112.0,,,,
73,302625438,302396479.0,,,,
74,302802712,302833976.0,,,,
75,303067371,302706899.0,,,,
76,303410298,302820112.0,,,,
77,303091263,302401313.0,302888553.0,,,
78,303580965,303117826.0,,,,
79,302373717,302409013.0,,,,
80,302925426,302483593.0,302895775.0,303028282.0,,
81,302888553,302409013.0,302373717.0,302850881.0,,
82,302396479,,,,,
83,302944654,302842902.0,302352893.0,,,
84,302820112,,,,,
85,303069712,302899824.0,303245761.0,,,
86,303844597,303270830.0,303880165.0,303893981.0,,
87,303245761,,,,,
88,302820112,,,,,
89,302776500,302352893.0,,,,
90,302625438,302396479.0,,,,
91,303303126,,,,,
92,303880165,303160094.0,303893981.0,,,
93,303844597,303880165.0,303893981.0,,,
94,302821942,302409013.0,302352893.0,,,
95,303117826,303580965.0,302525939.0,,,
96,302706899,303410298.0,302820112.0,302927768.0,,
97,303303126,,,,,
98,303303126,,,,,
99,303091263,302401313.0,,,,
100,302833976,,,,,
